"English","Italian","Success","Total"
"to stay, conjugated in imperative","-*sa'*stia*stiamo*state*stiano",0,3
"Vai a farti benedire / Vai a quel paese","Piss off (slang)",0,1
"Non avere peli sulla lingua","Speak your mind (slang)",0,1
"to give, conjugated in imperative","-*da'*dia*diamo*date*diano",1,1
"Tirare il pacco","To not show up (slang)",0,0
"backwards","indietro",1,4
"could you speak a little slower","potresti parlare un poco lentamente",0,3
"to waste","sprecare",0,2
"abroad","estero",2,8
"ogni morte di papa","hardly ever (slang)",0,1
"Non mi rompere i maroni","Don't be so annoying (slang)",0,1
"to tow/pick up women","rimorchiare",2,4
"to know, conjugated in imperative","-*sappi*sappia*sappiamo*sappiate*sappiano",1,2
"prendere in giro","to kid or tease (slang)",0,1
"to become angy","arrabbiarsi",4,7
"to choose, conjugated in past participle","avere scelto",9,23
"to move out, to evacuate","sgomberare",1,6
"right, permitted, allowed","lecito",0,3
"to be able to, conjugated in imperfect subjunctive","potessi*potessi*potesse*potessimo*poteste*potessero",3,9
"to drink, conjugated in imperative","-*bevi*beva*beviamo*bevete*bevano",1,1
"to watch, conjugated in imperfect subjunctive","guardassi*guardassi*guardasse*guardassimo*guardaste*guardassero",5,6
"painting, picture, image","quadro",0,0
"to be embarrassed","vergognarsi",6,12
"to be, conjugated in imperative","-*sii*sia*siamo*siate*siano",1,3
"double","doppia",1,2
"desert, empty, uninhabited","deserto",1,2
"puddles","pozzanghere",2,2
"to descend, conjugated in past participle","essere sceso/a/i/e",10,23
"to give, conjugated in imperfect subjunctive","dessi*dessi*desse*dessimo*deste*dessero",8,17
"to be, conjugated in conditional","sarei*saresti*sarebbe*saremmo*sareste*sarebbero",3,3
"to do/make, conjugated in imperative","-*fa'*faccia*facciamo*fate*facciano",2,3
"to drink, conjugated in conditional","berrei*berresti*berrebbe*berremmo*berreste*berrebbero",3,3
"to be, conjugated in imperfect subjunctive","fossi*fossi*fosse*fossimo*foste*fossero",7,12
"a list","elencare",6,13
"to hold, conjugated in future tense","terrò*terrai*terrà*terremo*terrete*terranno",4,5
"nap","pisolino",3,4
"to play, conjugated in conditional","giocherei*giocheresti*giocherebbe*giocheremmo*giochereste*giocherebbero",4,5
"sale (e.g. garage sale)","svendita",3,4
"to be, conjugated in past participle","essere stato",4,4
"to want, conjugated in future tense","vorrò*vorrai*vorrà*vorremo*vorrete*vorranno",5,5
"balloon","palloncino",4,6
"a fine","multe",4,6
"to scare","spaventare",4,8
"to have, conjugated in imperfect subjunctive","avessi*avessi*avesse*avessimo*aveste*avessero",6,9
"wrong","torto",5,8
"to ask for, conjugated in past participle","essere chiesto/a/i/e",11,23
"to stay, conjugated in imperfect (past)","stavo*stavi*stava*stavamo*stavate*stavano",5,11
"to joke","scherzare",8,14
"Avere le braccine corte","To be cheap (slang)",0,1
"Fare le corna a qualcuno","To cheat on someone (slang)",0,1
"che casino","what a mess (slang)",0,1
"to have, conjugated in imperative","-*abbi*abbia*abbiamo*abbiate*abbiano",0,4
"to wait for, conjugated in present subjunctive","aspetti*aspetti*aspetti*aspettiamo*aspettiate*aspettino",9,18
"to choose, conjugated in imperative","-*scegli*scegla*scegliamo*scegliete*scelgano",1,2
"to go out, conjugated in imperative","-*esci*esca*usciamo*uscite*escano",0,1
"to come, conjugated in conditional","verrei*verresti*verrebbe*verremmo*verreste*verrebbero",3,5
"to do/make, conjugated in imperfect subjunctive","facessi*facessi*facesse*facessimo*faceste*facessero",4,5
"non vedo l'ora","I can't wait (slang)",0,1
"thin","sottile",10,15
"That's done","ecco fatto",4,5
"Braccia rubate all’agricoltura","Someone doing something intellectual without a clue what they're doing (slang)",0,1
